symbol,exchange,reason
MEGASTAR.NS,NSE,not_found_on_yahoo
SJCORP.BO,BSE,not_found_on_yahoo
URBAN.NS,NSE,not_found_on_yahoo
DJML.NS,NSE,not_found_on_yahoo
SPENCERS.BO,BSE,not_found_on_yahoo
SPENCERS.NS,NSE,not_found_on_yahoo
DJML.BO,BSE,not_found_on_yahoo
WATERBASE.NS,NSE,not_found_on_yahoo
SADHAV.NS,NSE,not_found_on_yahoo
FCSSOFT.BO,BSE,not_found_on_yahoo
AGRIBIO.BO,BSE,not_found_on_yahoo
AUTOIND.NS,NSE,not_found_on_yahoo
AUTOIND.BO,BSE,not_found_on_yahoo
TRF.BO,BSE,not_found_on_yahoo
BHATIA.BO,BSE,not_found_on_yahoo
GOLDSTAR.NS,NSE,not_found_on_yahoo
TRF.NS,NSE,not_found_on_yahoo
BAHETI.NS,NSE,not_found_on_yahoo
FCSSOFT.NS,NSE,not_found_on_yahoo
ACESOFT.BO,BSE,not_found_on_yahoo
OILCOUNTUB.NS,NSE,not_found_on_yahoo
OILCOUNTUB.BO,BSE,not_found_on_yahoo
USASEEDS.NS,NSE,not_found_on_yahoo
ITHL.BO,BSE,not_found_on_yahoo
GSLSU.BO,BSE,not_found_on_yahoo
BPL.BO,BSE,not_found_on_yahoo
BPL.NS,NSE,not_found_on_yahoo
GSLSU.NS,NSE,not_found_on_yahoo
INDGELA.BO,BSE,not_found_on_yahoo
PGFOILQ.BO,BSE,not_found_on_yahoo
SURANAT&P.NS,NSE,not_found_on_yahoo
INDTONER.BO,BSE,not_found_on_yahoo
AVG.BO,BSE,not_found_on_yahoo
AVG.NS,NSE,not_found_on_yahoo
DRCSYSTEMS.BO,BSE,not_found_on_yahoo
DRCSYSTEMS.NS,NSE,not_found_on_yahoo
WARDWIZFBL.BO,BSE,not_found_on_yahoo
BYKE.NS,NSE,not_found_on_yahoo
CTL.BO,BSE,not_found_on_yahoo
AIRAN.BO,BSE,not_found_on_yahoo
AIRAN.NS,NSE,not_found_on_yahoo
RULKA.NS,NSE,not_found_on_yahoo
NSL.BO,BSE,not_found_on_yahoo
WATERBASE.BO,BSE,not_found_on_yahoo
ABVL.BO,BSE,not_found_on_yahoo
FONEBOX.NS,NSE,not_found_on_yahoo
SCANSTL.BO,BSE,not_found_on_yahoo
SILGO.NS,NSE,not_found_on_yahoo
ORGANICREC.BO,BSE,not_found_on_yahoo
7SEASL.BO,BSE,not_found_on_yahoo
RATHIST.BO,BSE,not_found_on_yahoo
KLL.NS,NSE,not_found_on_yahoo
GOLDENCREST.BO,BSE,not_found_on_yahoo
INCREDIBLE.BO,BSE,not_found_on_yahoo
MCL.NS,NSE,not_found_on_yahoo
INDOWIND.NS,NSE,not_found_on_yahoo
INDOWIND.BO,BSE,not_found_on_yahoo
INCREDIBLE.NS,NSE,not_found_on_yahoo
INDTERRAIN.BO,BSE,not_found_on_yahoo
MLKFOOD.BO,BSE,not_found_on_yahoo
INDTERRAIN.NS,NSE,not_found_on_yahoo
DHPIND.BO,BSE,not_found_on_yahoo
NECCLTD.BO,BSE,not_found_on_yahoo
NECCLTD.NS,NSE,not_found_on_yahoo
ENFUSE.NS,NSE,not_found_on_yahoo
ALUWIND.NS,NSE,not_found_on_yahoo
TRANSTEEL.NS,NSE,not_found_on_yahoo
PRAXIS.NS,NSE,not_found_on_yahoo
TRUSTEDGE.BO,BSE,not_found_on_yahoo
IVP.NS,NSE,not_found_on_yahoo
IVP.BO,BSE,not_found_on_yahoo
INDSUCR.BO,BSE,not_found_on_yahoo
PRAXIS.BO,BSE,not_found_on_yahoo
MODULEX.BO,BSE,not_found_on_yahoo
AIROLAM.NS,NSE,not_found_on_yahoo
WIPL.NS,NSE,not_found_on_yahoo
FRETAIL.BO,BSE,not_found_on_yahoo
SPTRSHI.BO,BSE,not_found_on_yahoo
INTLCOMBQ.BO,BSE,not_found_on_yahoo
STEELCITY.NS,NSE,not_found_on_yahoo
AUTOINT.BO,BSE,not_found_on_yahoo
SURANASOL.BO,BSE,not_found_on_yahoo
SURANASOL.NS,NSE,not_found_on_yahoo
BALPHARMA.NS,NSE,not_found_on_yahoo
GARNET.BO,BSE,not_found_on_yahoo
BALPHARMA.BO,BSE,not_found_on_yahoo
FRETAIL.NS,NSE,not_found_on_yahoo
GTL.NS,NSE,not_found_on_yahoo
GTL.BO,BSE,not_found_on_yahoo
INDINFO.BO,BSE,not_found_on_yahoo
PHARMAID.BO,BSE,not_found_on_yahoo
CGVAK.BO,BSE,not_found_on_yahoo
JCTLTD.BO,BSE,not_found_on_yahoo
RSSOFTWARE.NS,NSE,not_found_on_yahoo
AGNI.NS,NSE,not_found_on_yahoo
AUTOPINS.BO,BSE,not_found_on_yahoo
BVCL.BO,BSE,not_found_on_yahoo
BVCL.NS,NSE,not_found_on_yahoo
RSSOFTWARE.BO,BSE,not_found_on_yahoo
SALAUTO.BO,BSE,not_found_on_yahoo
TOTAL.NS,NSE,not_found_on_yahoo
PACIFICI.BO,BSE,not_found_on_yahoo
SEMAC.NS,NSE,not_found_on_yahoo
KORE.BO,BSE,not_found_on_yahoo
ACKNIT.BO,BSE,not_found_on_yahoo
INDIANACRY.BO,BSE,not_found_on_yahoo
IL&FSTRANS.NS,NSE,not_found_on_yahoo
BABAFP.NS,NSE,not_found_on_yahoo
WEPSOLN.BO,BSE,not_found_on_yahoo
SGLRES.BO,BSE,not_found_on_yahoo
GCKL.BO,BSE,not_found_on_yahoo
ACCURACY.NS,NSE,not_found_on_yahoo
ENERGYDEV.NS,NSE,not_found_on_yahoo
ENERGYDEV.BO,BSE,not_found_on_yahoo
OSIAHYPER.NS,NSE,not_found_on_yahoo
INDXTRA.BO,BSE,not_found_on_yahoo
BANKA.NS,NSE,not_found_on_yahoo
IRONWOOD.BO,BSE,not_found_on_yahoo
AJOONI.NS,NSE,not_found_on_yahoo
MAGSON.NS,NSE,not_found_on_yahoo
WAA.BO,BSE,not_found_on_yahoo
OLATECH.BO,BSE,not_found_on_yahoo
STML.BO,BSE,not_found_on_yahoo
ROML.BO,BSE,not_found_on_yahoo
ROML.NS,NSE,not_found_on_yahoo
MANPASAND.NS,NSE,not_found_on_yahoo
SUNLOC.BO,BSE,not_found_on_yahoo
GENPHARMA.BO,BSE,not_found_on_yahoo
YUDIZ.NS,NSE,not_found_on_yahoo
NHCFOODS.BO,BSE,not_found_on_yahoo
GSMFOILS.NS,NSE,not_found_on_yahoo
HOACFOODS.NS,NSE,not_found_on_yahoo
EFORU.BO,BSE,not_found_on_yahoo
FLEXFO.BO,BSE,not_found_on_yahoo
CRANESSOFT.BO,BSE,not_found_on_yahoo
VISAMAN.NS,NSE,not_found_on_yahoo
